menteeID,userID
0,484
1,268
2,436
3,488
4,80
5,66
6,154
7,205
8,259
9,329
10,183
11,269
12,101
13,458
14,115
15,499
16,178
17,30
18,457
19,152
20,160
21,1
22,466
23,371
24,376
25,451
26,5
27,213
28,226
29,15
30,47
31,455
32,16
33,195
34,221
35,471
36,379
37,159
38,340
39,125
40,249
41,26
42,172
43,283
44,321
45,460
46,372
47,134
48,332
49,247
50,413
51,236
52,153
53,105
54,148
55,143
56,351
57,257
58,414
59,262
60,388
61,360
62,334
63,358
64,251
65,27
66,273
67,303
68,97
69,478
70,151
71,233
72,483
73,420
74,17
75,107
76,119
77,385
78,238
79,144
80,234
81,4
82,432
83,94
84,461
85,491
86,272
87,220
88,25
89,56
90,67
91,54
92,381
93,486
94,264
95,78
96,44
97,69
98,496
99,396
100,189
101,0
102,225
103,223
104,245
105,104
106,346
107,263
108,22
109,316
110,275
111,214
112,350
113,354
114,403
115,288
116,31
117,493
118,256
119,206
120,489
121,380
122,243
123,439
124,294
125,353
126,122
127,465
128,199
129,370
130,33
131,19
132,443
133,62
134,149
135,445
136,254
137,456
138,186
139,188
140,53
141,368
142,7
143,476
144,253
145,424
146,406
147,407
148,129
149,304
150,305
151,64
152,431
153,297
154,128
155,83
156,203
157,192
158,337
159,198
160,327
161,102
162,36
163,10
164,81
165,255
166,194
167,345
168,142
169,290
170,11
171,219
172,427
173,295
174,13
175,309
176,311
177,141
178,239
179,419
180,416
181,216
182,341
183,130
184,310
185,131
186,450
187,270
188,120
189,279
190,317
191,48
192,75
193,232
194,492
195,452
196,293
197,258
198,349
199,23
200,92
201,77
202,335
203,240
204,357
205,84
206,132
207,352
208,96
209,280
210,495
211,428
212,167
213,426
214,347
215,389
216,398
217,191
218,265
219,169
220,390
221,79
222,137
223,9
224,281
225,14
226,446
227,51
228,382
229,34
230,409
231,441
232,418
233,57
234,65
235,479
236,401
237,50
238,475
239,209
240,444
241,322
242,437
243,18
244,85
245,181
246,497
247,318
248,204
249,425
250,498
251,230
252,405
253,212
254,384
255,231
256,463
257,260
258,113
259,74
260,55
261,300
262,197
263,477
264,161
265,37
266,163
267,320
268,326
269,60
270,308
271,399
272,103
273,408
274,474
275,126
276,171
277,423
278,228
279,147
280,200
281,165
282,155
283,93
284,111
285,109
286,252
287,28
288,87
289,106
290,365
291,145
292,86
293,117
294,150
295,139
296,184
297,402
298,182
299,447
